Z:\RAPID Cam 7\, 2024-04-16 17-21-46.mkv,In,289
Z:\RAPID Cam 7\, 2024-04-16 17-21-46.mkv,Out,8
Z:\RAPID Cam 7\, 2024-04-16 17-37-09.mkv,In,392
Z:\RAPID Cam 7\, 2024-04-16 17-37-09.mkv,Out,13
Z:\RAPID Cam 7\, 2024-04-16 17-52-22.mkv,In,520
Z:\RAPID Cam 7\, 2024-04-16 17-52-22.mkv,Out,13
Z:\RAPID Cam 7\, 2024-04-16 18-07-44.mkv,In,490
Z:\RAPID Cam 7\, 2024-04-16 18-07-44.mkv,Out,14
Z:\RAPID Cam 7\, 2024-04-16 18-23-05.mkv,In,515
Z:\RAPID Cam 7\, 2024-04-16 18-23-05.mkv,Out,15
Z:\RAPID Cam 7\, 2024-04-16 18-38-15.mkv,In,504
Z:\RAPID Cam 7\, 2024-04-16 18-38-15.mkv,Out,16
Z:\RAPID Cam 7\, 2024-04-16 18-53-24.mkv,In,486
Z:\RAPID Cam 7\, 2024-04-16 18-53-24.mkv,Out,21
Z:\RAPID Cam 7\, 2024-04-16 19-08-30.mkv,In,506
Z:\RAPID Cam 7\, 2024-04-16 19-08-30.mkv,Out,17
Z:\RAPID Cam 7\, 2024-04-16 19-23-53.mkv,In,446
Z:\RAPID Cam 7\, 2024-04-16 19-23-53.mkv,Out,6
Z:\RAPID Cam 7\, 2024-04-16 19-39-05.mkv,In,307
Z:\RAPID Cam 7\, 2024-04-16 19-39-05.mkv,Out,11
Z:\RAPID Cam 7\, 2024-04-16 19-54-15.mkv,In,290
Z:\RAPID Cam 7\, 2024-04-16 19-54-15.mkv,Out,8
Z:\RAPID Cam 7\, 2024-04-16 20-09-16.mkv,In,237
Z:\RAPID Cam 7\, 2024-04-16 20-09-16.mkv,Out,11
Z:\RAPID Cam 7\, 2024-04-16 20-24-36.mkv,In,232
Z:\RAPID Cam 7\, 2024-04-16 20-24-36.mkv,Out,12
Z:\RAPID Cam 7\, 2024-04-16 20-39-42.mkv,In,232
Z:\RAPID Cam 7\, 2024-04-16 20-39-42.mkv,Out,10
Z:\RAPID Cam 7\, 2024-04-16 20-54-42.mkv,In,44
Z:\RAPID Cam 7\, 2024-04-16 20-54-42.mkv,Out,2
Z:\RAPID Cam 7\, 2024-04-16 21-10-05.mkv,In,154
Z:\RAPID Cam 7\, 2024-04-16 21-10-05.mkv,Out,7
Z:\RAPID Cam 7\, 2024-04-16 21-25-29.mkv,In,167
Z:\RAPID Cam 7\, 2024-04-16 21-25-29.mkv,Out,6
Z:\RAPID Cam 7\, 2024-04-16 21-40-29.mkv,In,204
Z:\RAPID Cam 7\, 2024-04-16 21-40-29.mkv,Out,6
Z:\RAPID Cam 7\, 2024-04-16 21-55-40.mkv,In,101
Z:\RAPID Cam 7\, 2024-04-16 21-55-40.mkv,Out,3
Z:\RAPID Cam 7\, 2024-04-16 22-10-40.mkv,In,0
Z:\RAPID Cam 7\, 2024-04-16 22-10-40.mkv,Out,0
Z:\RAPID Cam 7\, 2024-04-16 22-26-01.mkv,In,0
Z:\RAPID Cam 7\, 2024-04-16 22-26-01.mkv,Out,0
Z:\RAPID Cam 7\, 2024-04-16 22-41-01.mkv,In,0
Z:\RAPID Cam 7\, 2024-04-16 22-41-01.mkv,Out,0
